country,year,debt_to_gdp,fdi_inflow,gdp_growth,inflation,unemployment,r_inflation,r_debt,r_unemployment,r_gdp,r_fdi,risk_index
Argentina,2023,154.6,3.81190879856952,-1.85578803046339,133.488935594175,6.139,100.0,100.0,30.86351994145628,60.453350663761775,16.635730371151666,73.38
Brazil,2005,67.0,1.73389354602718,3.96198871122617,4.18356812896909,9.692,3.028774040459833,26.448362720403022,63.36443468715698,31.853941273829804,67.97678442106437,29.02
Brazil,2006,64.6,1.753125703626,3.96198871122617,4.18356812896909,9.692,3.028774040459833,24.433249370277075,63.36443468715698,31.853941273829804,67.50161984199333,28.57
Brazil,2007,63.0,3.19082601308524,6.06987060678338,3.64127299102652,9.28,2.622085397992309,23.089840470193117,59.595682400292716,21.49187687134483,31.98068263750615,21.97
Brazil,2008,61.4,2.99060946922903,5.09419544658736,5.67859390284168,8.268,4.1499531916079535,21.746431570109152,50.33845590925723,26.288164968493405,36.92738761824784,22.3
Brazil,2009,64.7,1.88848224095724,-0.125812002161169,4.88803479876799,9.419,3.5570815497085566,24.51721242653233,60.86717892425906,51.94902076852156,64.15739641022108,32.08
Brazil,2010,62.4,3.73001288350945,7.52822581815364,5.03872690108075,8.42,3.670091536765907,22.58606213266163,51.728869374313945,14.322798445381324,18.659114269042703,18.29
Brazil,2011,60.6,3.91518011405433,3.97442307944702,6.6364496221309,7.578,4.868287203665315,21.074727120067173,44.02671057446031,31.792815589046313,14.08422927719944,20.29
Brazil,2012,61.6,3.75496285641218,1.92117598576537,5.40349914036997,7.251,3.943648713341741,21.914357682619652,41.035492133186985,41.88630264056833,18.042680917181713,22.1
Brazil,2013,59.6,3.04150901624338,3.00482266944432,6.20431066640101,7.071,4.5442090532878465,20.235096557514694,39.388949871935594,36.559241029817,35.66982399296518,22.42
Brazil,2014,61.6,3.57135266957477,0.503955740242247,6.32904015516139,6.755,4.637748646233633,21.914357682619652,36.49835345773875,48.853167097048775,22.579096381409386,23.51
Brazil,2015,71.7,3.59214931791344,-3.54576339269425,9.02990102416136,8.538,6.663231383317621,30.39462636439967,52.80826930113429,68.76104265492995,22.06527828257377,32.29
Brazil,2016,77.4,4.13737803865892,-3.27591690782192,8.73914352329393,11.58,6.445180796023682,35.18052057094879,80.63483351628248,67.43451356384341,8.594435281247897,35.73
Brazil,2017,82.7,3.33825981739039,1.32286905404399,3.44637335032669,12.792,2.4759224237227215,39.63056255247692,91.72155140870838,44.82749919053502,28.33806889520845,34.35
Brazil,2018,84.8,4.07858821454947,1.783666761634,3.66485028376729,12.329,2.6397669453766017,41.39378673383711,87.48627881448958,42.56227952494132,10.046942202693913,31.84
Brazil,2019,87.1,3.692673213156,1.22077782360842,3.73297621216894,11.936,2.690857282353661,43.324937027707804,83.89132821075741,45.32936597298236,19.581657080736193,33.21
Brazil,2020,96.0,2.59263795310275,-3.2767587964736,3.21176803803376,13.697,2.2999825907858726,50.79764903442485,100.0,67.43865217542637,46.759980085876386,44.13
Brazil,2021,88.9,2.77979084938159,4.76260437908608,8.30165975585673,13.158,6.117094359262277,44.83627204030227,95.06952067325284,27.918222138194878,42.13603569870502,35.17
Brazil,2022,83.9,3.8680317970139,3.01669435393015,9.28010608956873,9.231,6.8508700901204795,40.63811922753989,59.14745700695207,36.500881422731126,15.249112109783852,28.22
Brazil,2023,84.0,2.86383344298207,3.24165532906981,4.59356282283204,7.947,3.336245330168629,40.72208228379513,47.402122210025624,35.395003471335386,40.059614298400994,27.51
Germany,2005,67.1,2.06799391408494,3.86668241523209,1.57742642840563,10.277,1.074324966287233,26.532325776658265,68.71569703622392,32.32245422948185,59.722241999605544,28.43
Germany,2006,66.4,2.87049561649648,3.86668241523209,1.57742642840563,10.277,1.074324966287233,25.944584382871543,68.71569703622392,32.32245422948185,39.89501348034889,26.33
Germany,2007,63.7,1.4594247021417,2.8891174138025,2.29834400700951,8.732,1.6149696648285572,23.677581863979853,54.58287596048298,37.12803253241188,74.75802422751008,28.39
Germany,2008,65.2,0.81284475683707,0.887902330743628,2.62837981637219,7.508,1.8624766142447131,24.937027707808568,43.38638858397366,46.96573720532891,90.73292906945528,30.61
Germany,2009,72.4,1.63004671127687,-5.54455451920674,0.312739007368447,7.88,0.1258856858638208,30.982367758186403,46.78924259055983,78.586831482896,70.5425047396737,36.03
Germany,2010,81.0,2.48154528887853,4.13463778522758,1.1038103778926,7.043,0.7191414967013915,38.2031905961377,39.13282107574096,31.005221605236088,49.50472147865798,24.91
Germany,2011,78.5,2.55089499875415,3.75796884489337,2.07517283735874,5.967,1.447604749171185,36.10411418975651,29.29015733626052,32.856875545803334,47.791313841869034,23.47
Germany,2012,79.8,1.8196411156431,0.463512036709204,2.00848884782956,5.372,1.3975957793713991,37.19563392107473,23.84742041712404,49.051982913801936,65.85823856298487,27.9
Germany,2013,77.5,1.76515036525359,0.396995583779145,1.50472330251876,5.316,1.0198020072906728,35.26448362720403,23.335162824734724,49.3789688661643,67.20452923989178,27.51
Germany,2014,74.5,0.437762571704246,2.18018602168017,0.906794000434246,4.979,0.5713910975434838,32.7455919395466,20.25246981339188,40.61304407769727,100.0,27.91
Germany,2015,71.2,1.82239938063641,1.66300602334775,0.514426137125456,4.612,0.2771388675081229,29.97481108312343,16.89535309184047,43.15543151491228,65.7900907320523,23.84
Germany,2016,68.3,1.64365840117303,2.22222216259371,0.491747008445174,4.104,0.2601308889923595,27.539882451721244,12.24844493230882,40.406400052576075,70.2062037881699,22.54
Germany,2017,64.0,2.88914588414184,2.797906720551,1.50949485109628,3.781,1.0233803809062314,23.929471032745592,9.293816319063302,37.5764120548412,39.434225525085196,18.0
Germany,2018,60.8,4.00082875273687,1.13569604599849,1.73216879766942,3.384,1.1903724092476446,21.242653232577666,5.662275887303328,45.74761656896224,11.968127683372401,15.86
Germany,2019,58.7,1.9056930139782,0.977734697038784,1.44565976888253,3.163,0.9755079197482592,19.479429051217465,3.6406878887669207,46.52413335316813,63.73217372389632,20.46
Germany,2020,68.0,4.48523547812751,-4.13191443239947,0.144877925813982,3.881,0.0,27.287993282955505,10.208562019758505,71.64248247174828,0.0,21.32
Germany,2021,67.9,2.93002168676674,3.90999994204108,3.06666666666673,3.594,2.191165314707541,27.20403022670026,7.583241858763262,32.10951108333255,38.4243162911029,17.61
Germany,2022,64.4,1.82269397984058,1.8092581243061,6.87257438551097,3.137,5.045366533264939,24.26532325776659,3.4028540065861685,42.43647582184269,65.78281213597566,22.19
Germany,2023,62.3,1.99210813981277,-0.869647578573321,5.94643667725823,3.071,4.350819116269329,22.502099076406378,2.799121844127334,55.60561659767486,61.597134704921515,23.72
Mexico,2005,36.8,2.74220134246066,4.80501351664901,3.62946762439132,3.566,2.61323208511011,1.0915197313182177,7.327113062568605,27.709744511622375,43.06475116610879,12.08
Mexico,2006,35.8,2.16893035275929,4.80501351664901,3.62946762439132,3.566,2.61323208511011,0.2518891687657407,7.327113062568605,27.709744511622375,57.22842818026743,13.33
Mexico,2007,35.5,2.81398718042151,2.0778639395329,3.96684905458235,3.628,2.866247807063111,0.0,7.894255396999634,41.11604569616607,41.291154662302,14.54
Mexico,2008,40.6,2.56307995857491,0.943331872912935,5.12498274575896,3.874,3.734778217362305,4.282115869017634,10.144529820709844,46.693253017780634,47.49026278847167,17.77
Mexico,2009,41.7,2.08311648643152,-6.29525056697287,5.29735584228856,5.356,3.864047642294842,5.205709487825359,23.70106110501281,82.2771524681651,59.34861201625024,28.34
Mexico,2010,40.2,2.76223720236461,4.9713345832195,4.15672722680174,5.303,3.0086449828650013,3.946263643996644,23.216245883644348,26.892132477985257,42.569729695498005,14.96
Mexico,2011,41.2,1.9442261568419,3.44404505297089,3.40737824605742,5.175,2.446678447687243,4.785894206549121,22.045371386754482,34.400082760699576,62.78014405613626,18.28
Mexico,2012,40.8,1.45258915061197,3.55321076010608,4.11150981070289,4.892,2.9747346482842807,4.450041981528125,19.456641053787052,33.86343880058878,74.92690865707308,19.12
Mexico,2013,44.1,3.83670268116194,0.852101550164704,3.80639069747204,4.921,2.7459137180035262,7.220822837951303,19.72191730698866,47.1417290361805,16.023153507373962,16.39
Mexico,2014,47.1,2.08415748539387,2.50376350783593,4.01861608078679,4.819,2.905069954153602,9.739714525608733,18.788876692279548,39.02238059801789,59.32289228973403,19.52
Mexico,2015,51.0,2.98783786611186,2.70232343024026,2.72064064964023,4.311,1.9316666740653774,13.014273719563393,14.141968532747896,38.04628667736576,36.99586499119755,16.71
Mexico,2016,55.0,3.49768027047347,1.7724932254128,2.8217078474766,3.853,2.007460976116492,16.3727959697733,9.952433223563851,42.61720712888896,24.39930372571014,16.43
Mexico,2017,52.5,2.78307493364523,1.87172854648381,6.04145724018986,3.419,4.422078806872081,14.27371956339211,5.982436882546652,42.12937961345445,42.05489656968384,17.93
Mexico,2018,52.2,3.0141785043816,1.97208211101069,4.89935015356551,3.275,3.5655673832697814,14.021830394626367,4.665203073545553,41.6360549633219,36.34507278384422,16.71
Mexico,2019,51.9,2.29651449559824,-0.392690513290532,3.63596142127046,3.477,2.6181020410666704,13.769941225860622,6.512989388949871,53.260959699156345,54.0762355457849,20.71
Mexico,2020,58.5,2.81400875229273,-8.35403459379062,3.39683415570006,4.44,2.4387710159338285,19.31150293870697,15.321990486644719,92.39785833961696,41.290621690946324,29.62
Mexico,2021,56.7,2.70530313479407,6.04848347173572,5.68920847683753,4.019,4.157913481838696,17.800167926112515,11.470911086717894,21.59701315588505,43.97638685879085,15.45
Mexico,2022,53.8,2.67267286267437,3.70975708309098,7.8962761916855,3.256,5.813081138681081,15.365239294710326,4.491401390413462,33.093878094099125,44.78257563075066,16.88
Mexico,2023,52.8,1.7099038174861,3.1067964131456,5.52796087314389,2.765,4.036987505448598,14.525608732157849,0.0,36.057951796382106,68.5694932321106,18.39
