date,close,company,sector,ticker
2020-07-14,84.76649475097656,Siemens,Industrials,SIE.DE
2020-07-15,86.44916534423828,Siemens,Industrials,SIE.DE
2020-07-16,86.64985656738281,Siemens,Industrials,SIE.DE
2020-07-17,86.55723571777344,Siemens,Industrials,SIE.DE
2020-07-20,87.96202850341797,Siemens,Industrials,SIE.DE
2020-07-21,89.18158721923828,Siemens,Industrials,SIE.DE
2020-07-22,88.76477813720703,Siemens,Industrials,SIE.DE
2020-07-23,88.68758392333984,Siemens,Industrials,SIE.DE
2020-07-24,87.05122375488281,Siemens,Industrials,SIE.DE
2020-07-27,87.45259857177734,Siemens,Industrials,SIE.DE
2020-07-28,88.02377319335938,Siemens,Industrials,SIE.DE
2020-07-29,88.4251480102539,Siemens,Industrials,SIE.DE
2020-07-30,84.78194427490234,Siemens,Industrials,SIE.DE
2020-07-31,83.60869598388672,Siemens,Industrials,SIE.DE
2020-08-03,86.44916534423828,Siemens,Industrials,SIE.DE
2020-08-04,85.3376693725586,Siemens,Industrials,SIE.DE
2020-08-05,86.4954833984375,Siemens,Industrials,SIE.DE
2020-08-06,87.90028381347656,Siemens,Industrials,SIE.DE
2020-08-07,89.4903335571289,Siemens,Industrials,SIE.DE
2020-08-10,89.3359603881836,Siemens,Industrials,SIE.DE
2020-08-11,90.64812469482422,Siemens,Industrials,SIE.DE
2020-08-12,91.3736801147461,Siemens,Industrials,SIE.DE
2020-08-13,90.64812469482422,Siemens,Industrials,SIE.DE
2020-08-14,89.70645904541016,Siemens,Industrials,SIE.DE
2020-08-17,89.86082458496094,Siemens,Industrials,SIE.DE
2020-08-18,90.04606628417969,Siemens,Industrials,SIE.DE
2020-08-19,91.09581756591797,Siemens,Industrials,SIE.DE
2020-08-20,89.81450653076172,Siemens,Industrials,SIE.DE
2020-08-21,89.4903335571289,Siemens,Industrials,SIE.DE
2020-08-24,92.06837463378906,Siemens,Industrials,SIE.DE
2020-08-25,91.57437133789062,Siemens,Industrials,SIE.DE
2020-08-26,92.7012939453125,Siemens,Industrials,SIE.DE
2020-08-27,92.00660705566406,Siemens,Industrials,SIE.DE
2020-08-28,91.25018310546875,Siemens,Industrials,SIE.DE
2020-08-31,89.27420806884766,Siemens,Industrials,SIE.DE
2020-09-01,90.20044708251953,Siemens,Industrials,SIE.DE
2020-09-02,91.94486999511719,Siemens,Industrials,SIE.DE
2020-09-03,90.18501281738281,Siemens,Industrials,SIE.DE
2020-09-04,89.30508422851562,Siemens,Industrials,SIE.DE
2020-09-07,90.50919342041016,Siemens,Industrials,SIE.DE
2020-09-08,89.10440063476562,Siemens,Industrials,SIE.DE
2020-09-09,91.18843841552734,Siemens,Industrials,SIE.DE
2020-09-10,90.78707122802734,Siemens,Industrials,SIE.DE
